primary_key,match_key,date,time_of_day,name_team_A,name_team_B,gametime,score_team_A,score_team_B,odd_win_team_A,odd_draw,odd_win_team_B,prob_win_team_A,prob_draw,prob_win_team_B
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:32:59,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:32:59,Erzgebirge Aue,SpVgg Unterhaching,33',0,0,2.1,2.9,3.8,0.43921904761904756,0.3180551724137931,0.24272631578947368
Hallescher_FC_versus_SC_Verl_time_2024-04-20 14:32:59,Hallescher_FC_versus_SC_Verl,2024-04-20,14:32:59,Hallescher FC,SC Verl,33',1,0,1.45,4.3,7.0,0.6475241379310345,0.2183511627906977,0.13413
VfB_Lübeck_versus_Borussia_Dortmund_II_time_2024-04-20 14:32:59,VfB_Lübeck_versus_Borussia_Dortmund_II,2024-04-20,14:32:59,VfB Lübeck,Borussia Dortmund II,32',0,2,25.0,9.0,1.07,0.0368428,0.10234111111111112,0.8608130841121495
RC_Celta_de_Vigo_versus_UD_Las_Palmas_time_2024-04-20 14:32:59,RC_Celta_de_Vigo_versus_UD_Las_Palmas,2024-04-20,14:32:59,RC Celta de Vigo,UD Las Palmas,32',0,1,3.3,3.3,2.1,0.28,0.28,0.44
1860_München_versus_1._FC_Saarbrücken_time_2024-04-20 14:32:59,1860_München_versus_1._FC_Saarbrücken,2024-04-20,14:32:59,1860 München,1. FC Saarbrücken,30',0,1,10.0,5.0,1.27,0.091962,0.183924,0.7241102362204724
Dynamo_Dresden_versus_FC_Viktoria_Köln_time_2024-04-20 14:32:59,Dynamo_Dresden_versus_FC_Viktoria_Köln,2024-04-20,14:32:59,Dynamo Dresden,FC Viktoria Köln,30',0,0,1.35,4.3,8.0,0.6744444444444444,0.21174418604651163,0.1138125
Bandirmaspor_versus_Tuzlaspor_time_2024-04-20 14:32:59,Bandirmaspor_versus_Tuzlaspor,2024-04-20,14:32:59,Bandirmaspor,Tuzlaspor,90'+4,1,1,8.5,1.12,13.0,0.10818823529411764,0.8210714285714285,0.07073846153846154
Ethio_Electric_SC_versus_Oromia_Police_Fc_time_2024-04-20 14:32:59,Ethio_Electric_SC_versus_Oromia_Police_Fc,2024-04-20,14:32:59,Ethio Electric SC,Oromia Police Fc,80',1,0,1.02,10.0,45.0,0.889156862745098,0.090694,0.020154222222222223
Skövde_AIK_versus_Trelleborgs_FF_time_2024-04-20 14:32:59,Skövde_AIK_versus_Trelleborgs_FF,2024-04-20,14:32:59,Skövde AIK,Trelleborgs FF,77',1,0,1.25,4.0,18.0,0.723616,0.22613,0.05025111111111111
FC_Rosengaard_1917_versus_Onsala_BK_time_2024-04-20 14:32:59,FC_Rosengaard_1917_versus_Onsala_BK,2024-04-20,14:32:59,FC Rosengaard 1917,Onsala BK,75',1,1,2.5,1.8,6.5,0.360556,0.5007722222222222,0.13867538461538462
